log_name,drift_id,change_type,drift_type,complexity,change_point,log_size
log_1001_1708942933.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual']",,"[1935, 2275, 3671, 4225]",5331.0
log_1002_1708942938.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1891, 2281]",3700.0
log_1003_1708942940.xes,['drift_1'],['sudden'],['sudden'],,[1296],2608.0
log_1004_1708942942.xes,"['drift_1', 'drift_1', 'drift_2']","['gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'sudden']",,"[1185, 1530, 3149]",4487.0
log_1005_1708942944.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1863, 2166]",4120.0
log_1006_1708942947.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1121, 1630]",3236.0
log_1007_1708942952.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual']",,"[1328, 1732, 3635, 4141]",5332.0
log_1008_1708942956.xes,"['drift_1', 'drift_2', 'drift_2', 'drift_3', 'drift_3']","['sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual', 'gradual', 'gradual']",,"[1870, 3275, 3845, 5000, 5552]",6595.0
log_1009_1708942959.xes,"['drift_1', 'drift_2', 'drift_3']","['sudden', 'sudden', 'sudden']","['sudden', 'sudden', 'sudden']",,"[1749, 3355, 5348]",7169.0
log_100_1708942821.xes,['drift_1'],['sudden'],['sudden'],,[1036],2112.0
log_1010_1708942967.xes,"['drift_1', 'drift_2', 'drift_2']","['sudden', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual']",,"[1429, 3355, 3908]",5537.0
log_1011_1708942978.xes,"['drift_1', 'drift_2', 'drift_3']","['sudden', 'sudden', 'sudden']","['sudden', 'sudden', 'sudden']",,"[1734, 3470, 4902]",6666.0
log_1012_1708942983.xes,"['drift_1', 'drift_2']","['sudden', 'sudden']","['sudden', 'sudden']",,"[1661, 3049]",4477.0
log_1014_1708942991.xes,"['drift_1', 'drift_1', 'drift_2']","['gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'sudden']",,"[1905, 2463, 3861]",5716.0
log_1015_1708942999.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1481, 1932]",3218.0
log_1016_1708943001.xes,"['drift_1', 'drift_2', 'drift_3']","['sudden', 'sudden', 'sudden']","['sudden', 'sudden', 'sudden']",,"[1229, 3050, 4213]",5705.0
log_1017_1708943006.xes,"['drift_1', 'drift_1', 'drift_2']","['gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'sudden']",,"[1970, 2537, 4142]",5978.0
log_1019_1708943014.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual']",,"[1434, 1744, 3340, 3827]",5603.0
log_101_1708942821.xes,"['drift_1', 'drift_2']","['sudden', 'sudden']","['sudden', 'sudden']",,"[1107, 2973]",4272.0
log_1022_1708943026.xes,"['drift_1', 'drift_2', 'drift_2', 'drift_3', 'drift_3']","['sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual', 'gradual', 'gradual']",,"[1136, 3118, 3571, 5417, 5870]",6899.0
log_1023_1708943039.xes,"['drift_1', 'drift_2', 'drift_2', 'drift_3', 'drift_3']","['sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual', 'gradual', 'gradual']",,"[1970, 3693, 3997, 5926, 6384]",7720.0
log_1025_1708943060.xes,"['drift_1', 'drift_2']","['sudden', 'sudden']","['sudden', 'sudden']",,"[1353, 3184]",5126.0
log_1026_1708943068.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual']",,"[1988, 2495, 3771, 4368]",6028.0
log_1027_1708942889.xes,['drift_1'],['sudden'],['sudden'],,[1655],3295.0
log_1028_1708942893.xes,"['drift_1', 'drift_1']","['gradual_start', 'gradual_end']","['gradual', 'gradual']",,"[1924, 2309]",4239.0
log_1029_1708942897.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'sudden', 'gradual', 'gradual']",,"[1609, 2175, 3960, 5375, 5907]",7180.0
log_102_1708942825.xes,"['drift_1', 'drift_1', 'drift_2']","['gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'sudden']",,"[1689, 2008, 3873]",5845.0
log_1030_1708942904.xes,['drift_1'],['sudden'],['sudden'],,[1851],3265.0
log_1031_1708942906.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_2']","['gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'gradual', 'gradual']",,"[1099, 1531, 2580, 3130]",4750.0
log_1032_1708942909.xes,"['drift_1', 'drift_1', 'drift_2']","['gradual_start', 'gradual_end', 'sudden']","['gradual', 'gradual', 'sudden']",,"[1058, 1460, 3094]",5055.0
log_1033_1708942922.xes,"['drift_1', 'drift_2', 'drift_2', 'drift_3', 'drift_3']","['sudden', 'gradual_start', 'gradual_end', 'gradual_start', 'gradual_end']","['sudden', 'gradual', 'gradual', 'gradual', 'gradual']",,"[1311, 2518, 3019, 4629, 5199]",6253.0
log_1034_1708942931.xes,"['drift_1', 'drift_2', 'drift_3', 'drift_3']","['sudden', 'sudden', 'gradual_start', 'gradual_end']","['sudden', 'sudden', 'gradual', 'gradual']",,"[1174, 2552, 4224, 4695]",5999.0
log_1035_1708942945.xes,"['drift_1', 'drift_1', 'drift_2', 'drift_3', 'drift_3']","['gradual_start', 'gradual_end', 'sudden', 'gradual_start', 'gradual_end']","['gradual', 'gradual', 'sudden', 'gradual', 'gradual']",,"[1169, 1481, 2708, 4313, 4630]",5700.0
log_1036_1708942947.xes,"['drift_1', 'drift_2']","['sudden', 'sudden']","['sudden', 'sudden']",,"[1730, 2860]",4203.0
