metric,0–0.5_recall,0.5–0.75_recall,0.75–1.0_recall,1.0_recall,0–0.5_f1,0.5–0.75_f1,0.75–1.0_f1,1.0_f1,0–0.5,0.5–0.75,0.75–1.0,1.0
delta_chao1,210,6,0,84,231,53,3,13,274,4,0,22
delta_completeness,282,1,0,17,289,11,0,0,295,0,0,5
delta_coverage,275,4,0,21,283,11,1,5,285,1,0,14
delta_hill_q1,129,17,0,154,117,68,24,91,141,11,0,148
delta_hill_q2,146,20,0,134,124,74,23,79,147,9,0,144
reldelta_chao1,259,5,0,36,241,28,7,24,232,2,0,66
reldelta_hill_q1,144,17,0,139,126,63,26,85,145,13,0,142
reldelta_hill_q2,160,17,0,123,140,65,20,75,159,9,0,132
zscore_chao1,190,10,0,100,189,35,11,65,191,2,0,107
zscore_hill_q1,148,15,0,137,138,63,13,86,152,2,0,146
zscore_hill_q2,173,16,0,111,156,56,15,73,159,1,0,140
