metric,0–0.5_recall,0.5–0.75_recall,0.75–1.0_recall,1.0_recall,0–0.5_f1,0.5–0.75_f1,0.75–1.0_f1,1.0_f1,0–0.5,0.5–0.75,0.75–1.0,1.0
delta_chao1,211,9,0,80,251,39,3,7,283,3,0,14
delta_completeness,273,1,0,26,299,0,0,1,299,0,0,1
delta_coverage,265,5,0,30,298,2,0,0,300,0,0,0
delta_hill_q1,161,12,0,127,248,38,6,8,278,8,0,14
delta_hill_q2,174,18,0,108,256,32,6,6,278,7,0,15
reldelta_chao1,256,4,0,40,267,16,1,16,261,2,0,37
reldelta_hill_q1,176,8,0,116,258,34,3,5,284,8,0,8
reldelta_hill_q2,181,16,0,103,263,32,2,3,289,3,0,8
zscore_chao1,201,11,0,88,230,13,7,50,230,4,0,66
zscore_hill_q1,183,9,0,108,235,32,5,28,248,8,0,44
zscore_hill_q2,198,9,0,93,242,20,9,29,250,9,0,41
